target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,EICU,12.0,full_reference,retained_reference,outcome_observed_fraction,100,0.5952463566967383,0.0125214212839005,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,full_reference,retained_reference,reconstructed_sensitivity,100,0.5287463126843658,0.0207609276209446,0.4910766961651917,0.5658923303834807
EICU,EICU,12.0,full_reference,retained_reference,mean_retained_measurements,100,3.236606523247745,0.0526731668862552,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,full_reference,retained_reference,event_rate,100,0.4705065926439973,1.1158161231197418e-16,0.4705065926439972,0.4705065926439972
EICU,EICU,12.0,full_reference,retained_reference,oe,100,0.9936864098810976,0.0,0.9936864098810976,0.9936864098810976
EICU,EICU,12.0,full_reference,retained_reference,brier,100,0.185531400015218,2.7895403077993544e-17,0.185531400015218,0.185531400015218
EICU,EICU,12.0,full_reference,retained_reference,auc,100,0.7951340965061838,1.1158161231197418e-16,0.7951340965061837,0.7951340965061837
EICU,EICU,12.0,full_reference,retained_reference,calibration_intercept,100,-0.0225893347362311,3.486925384749193e-18,-0.0225893347362311,-0.0225893347362311
EICU,EICU,12.0,full_reference,retained_reference,calibration_slope,100,0.926677582194532,1.1158161231197418e-16,0.926677582194532,0.926677582194532
EICU,EICU,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.5952463566967383,0.0125214212839005,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.5287463126843658,0.0207609276209446,0.4910766961651917,0.5658923303834807
EICU,EICU,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,3.236606523247745,0.0526731668862552,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,local_recalibration,reconstructed_observed,event_rate,100,0.4179011004809551,0.0125714912503895,0.3975765191841467,0.4429238579174332
EICU,EICU,12.0,local_recalibration,reconstructed_observed,oe,100,0.9997458410085536,0.0037821825357613,0.990048759761656,1.0055778130395998
EICU,EICU,12.0,local_recalibration,reconstructed_observed,brier,100,0.1818869801251814,0.0046679973224301,0.1723620006654653,0.1895431844429021
EICU,EICU,12.0,local_recalibration,reconstructed_observed,auc,100,0.7996378287776469,0.0100849849612041,0.7794743273390943,0.8172557429888843
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_intercept,100,-0.0075820320971451,0.0132049143748274,-0.0392273171396133,0.0072707379986879
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.9725068740352604,0.0306214438184659,0.8727856556644962,1.0020396620917156
EICU,EICU,12.0,local_recalibration,retained_reference,outcome_observed_fraction,100,0.5952463566967383,0.0125214212839005,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,100,0.5287463126843658,0.0207609276209446,0.4910766961651917,0.5658923303834807
EICU,EICU,12.0,local_recalibration,retained_reference,mean_retained_measurements,100,3.236606523247745,0.0526731668862552,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,local_recalibration,retained_reference,event_rate,100,0.4705065926439973,1.1158161231197418e-16,0.4705065926439972,0.4705065926439972
EICU,EICU,12.0,local_recalibration,retained_reference,oe,100,1.124560648032928,0.0292685628892867,1.0657455535257652,1.1839905480347557
EICU,EICU,12.0,local_recalibration,retained_reference,brier,100,0.1914880553268073,0.0019028946440342,0.1881806954297359,0.1953384121143308
EICU,EICU,12.0,local_recalibration,retained_reference,auc,100,0.7931238667424428,0.0021850459015248,0.7879748566634577,0.7952970536270041
EICU,EICU,12.0,local_recalibration,retained_reference,calibration_intercept,100,0.2683961125284254,0.0605140730040829,0.1440306362579851,0.3910730493827716
EICU,EICU,12.0,local_recalibration,retained_reference,calibration_slope,100,0.9535616041031884,0.0455685736290262,0.8626022033638306,1.038982973803461
EICU,EICU,12.0,naive,reconstructed_observed,outcome_observed_fraction,100,0.5952463566967383,0.0125214212839005,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,naive,reconstructed_observed,reconstructed_sensitivity,100,0.5287463126843658,0.0207609276209446,0.4910766961651917,0.5658923303834807
EICU,EICU,12.0,naive,reconstructed_observed,mean_retained_measurements,100,3.236606523247745,0.0526731668862552,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,naive,reconstructed_observed,event_rate,100,0.4179011004809551,0.0125714912503895,0.3975765191841467,0.4429238579174332
EICU,EICU,12.0,naive,reconstructed_observed,oe,100,0.8840942658907227,0.0226386568746344,0.842728008240287,0.9323478191925858
EICU,EICU,12.0,naive,reconstructed_observed,brier,100,0.1820126386213678,0.0042233119813557,0.1739956963205265,0.1906450400611568
EICU,EICU,12.0,naive,reconstructed_observed,auc,100,0.8026175080758254,0.0091387469334574,0.7839299234268365,0.8185486385894521
EICU,EICU,12.0,naive,reconstructed_observed,calibration_intercept,100,-0.3056354122855573,0.059532027236588,-0.4179028209008364,-0.1796517570749187
EICU,EICU,12.0,naive,reconstructed_observed,calibration_slope,100,0.9538791838600124,0.043886774826137,0.8813341086028064,1.040734729139881
EICU,MIMIC,12.0,full_reference,retained_reference,outcome_observed_fraction,100,0.8291811242192921,0.0088461149443853,0.8136190145732131,0.8469986120749479
EICU,MIMIC,12.0,full_reference,retained_reference,reconstructed_sensitivity,100,0.7566666666666667,0.0159668185805628,0.7277654867256638,0.7884587020648968
EICU,MIMIC,12.0,full_reference,retained_reference,mean_retained_measurements,100,4.430548230395559,0.0478918130352199,4.343285912560722,4.527255378209577
EICU,MIMIC,12.0,full_reference,retained_reference,event_rate,100,0.4705065926439973,1.1158161231197418e-16,0.4705065926439972,0.4705065926439972
EICU,MIMIC,12.0,full_reference,retained_reference,oe,100,0.9936864098810976,0.0,0.9936864098810976,0.9936864098810976
EICU,MIMIC,12.0,full_reference,retained_reference,brier,100,0.185531400015218,2.7895403077993544e-17,0.185531400015218,0.185531400015218
EICU,MIMIC,12.0,full_reference,retained_reference,auc,100,0.7951340965061838,1.1158161231197418e-16,0.7951340965061837,0.7951340965061837
EICU,MIMIC,12.0,full_reference,retained_reference,calibration_intercept,100,-0.0225893347362311,3.486925384749193e-18,-0.0225893347362311,-0.0225893347362311
EICU,MIMIC,12.0,full_reference,retained_reference,calibration_slope,100,0.926677582194532,1.1158161231197418e-16,0.926677582194532,0.926677582194532
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.8291811242192921,0.0088461149443853,0.8136190145732131,0.8469986120749479
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.7566666666666667,0.0159668185805628,0.7277654867256638,0.7884587020648968
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,4.430548230395559,0.0478918130352199,4.343285912560722,4.527255378209577
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,event_rate,100,0.429347929092128,0.0071413454774865,0.4164395691162371,0.4437305402456038
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,oe,100,0.9999157848607864,0.002504390376454,0.9955796261560834,1.00603158331097
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,brier,100,0.1824875333373214,0.00277640597931,0.1778278218185036,0.1878022954114328
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,auc,100,0.7996910110005885,0.0062533253904826,0.7886476775314628,0.8107131504489498
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,calibration_intercept,100,-0.0037201694500743,0.0077694233196734,-0.0270056187419154,0.0077960335361838
EICU,MIMIC,12.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.9842546411338108,0.0178262812505943,0.9441798502698088,0.9999909504157558
EICU,MIMIC,12.0,local_recalibration,retained_reference,outcome_observed_fraction,100,0.8291811242192921,0.0088461149443853,0.8136190145732131,0.8469986120749479
EICU,MIMIC,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,100,0.7566666666666667,0.0159668185805628,0.7277654867256638,0.7884587020648968
EICU,MIMIC,12.0,local_recalibration,retained_reference,mean_retained_measurements,100,4.430548230395559,0.0478918130352199,4.343285912560722,4.527255378209577
EICU,MIMIC,12.0,local_recalibration,retained_reference,event_rate,100,0.4705065926439973,1.1158161231197418e-16,0.4705065926439972,0.4705065926439972
EICU,MIMIC,12.0,local_recalibration,retained_reference,oe,100,1.0938813104702425,0.0174712315820986,1.065556166828464,1.1267755246806617
EICU,MIMIC,12.0,local_recalibration,retained_reference,brier,100,0.1895457477565815,0.0011121742768925,0.1880091501447629,0.1921859267982354
EICU,MIMIC,12.0,local_recalibration,retained_reference,auc,100,0.7935514407110574,0.0014513111480693,0.7895998851761212,0.7951641072926694
EICU,MIMIC,12.0,local_recalibration,retained_reference,calibration_intercept,100,0.2090782723464304,0.0382061824163019,0.1458926500681024,0.2806384319393262
EICU,MIMIC,12.0,local_recalibration,retained_reference,calibration_slope,100,0.9620247936202476,0.0337041074502437,0.9044021355487616,1.0314862736484225
EICU,MIMIC,12.0,naive,reconstructed_observed,outcome_observed_fraction,100,0.8291811242192921,0.0088461149443853,0.8136190145732131,0.8469986120749479
EICU,MIMIC,12.0,naive,reconstructed_observed,reconstructed_sensitivity,100,0.7566666666666667,0.0159668185805628,0.7277654867256638,0.7884587020648968
EICU,MIMIC,12.0,naive,reconstructed_observed,mean_retained_measurements,100,4.430548230395559,0.0478918130352199,4.343285912560722,4.527255378209577
EICU,MIMIC,12.0,naive,reconstructed_observed,event_rate,100,0.429347929092128,0.0071413454774865,0.4164395691162371,0.4437305402456038
EICU,MIMIC,12.0,naive,reconstructed_observed,oe,100,0.9084744245701052,0.014147260211008,0.8813302282245725,0.93299115952315
EICU,MIMIC,12.0,naive,reconstructed_observed,brier,100,0.1822831465123233,0.0028389982990031,0.177224008680792,0.187823772678238
